USD_RUB;EUR_RUB;GBP_RUB
29.7299995422363;35.5360917279253;51.0423302887699
29.6900005340576;35.8921665723155;51.3730063726667
29.6900005340576;35.9931151677479;51.30730590366
29.6800003051757;35.8562373891734;51.0702746778704
29.6299991607666;36.0977376484404;51.3344886900232
29.6299991607666;36.0979093748289;51.2286921833472
29.5400009155273;36.1740966541729;51.5420771686535
29.5300006866455;35.9755216265514;51.3413851285467
29.4899997711182;35.9020136005549;51.2860835150828
29.3899993896484;36.0879145125343;51.3532904259916
29.3400001525878;36.1960852201862;51.3358169769015
29.3500003814697;36.0416973531244;51.3103878200052
29.25;36.2759209871292;51.6410374045372
29.2399997711182;36.3247864693149;51.7842913722589
29.2399997711182;36.2632040326289;51.6848762616533
29.2700004577637;36.266924858093;51.6055061817167
29.2399997711182;36.2576731943123;51.5851335826799
29.1499996185303;36.4125419389038;51.9185353506621
29.2199993133545;36.3855897116608;51.8952490654495
29.2399997711182;36.4255688123177;51.9199745606321
29.3299999237061;36.7152291503019;52.1879574452212
29.25;36.6931008041621;51.9886881382752
29.2399997711182;36.8006235307968;52.2869960547636
29.2299995422363;36.7770091591518;52.181520618774
29.2299995422363;36.7770091591518;52.4295499220169
29.2299995422363;37.0840273509265;52.8246629262356
29.2199993133545;37.2090078592298;53.2728689610955
29.2299995422363;36.9621290413065;53.1520406758607
29.2099990844727;37.1751959547987;53.3661014400047
29.0799999237061;37.2137292481419;53.48364431136
28.9500007629394;36.7958986461592;53.3008475264303
28.8999996185303;36.900182827281;53.3565085656499
28.8600006103516;36.5361489741422;52.8995864754686
28.8799991607666;36.3789884556626;52.6930598127
28.8700008392333;35.6815196491791;51.7756302192592
28.7800006866455;35.5673616478351;51.3410382444496
28.7800006866455;36.1809789041158;52.272602010713
28.7299995422363;36.3947077095508;52.6933161914348
28.7700004577637;36.4191671011987;52.7664616035924
28.6100006103516;35.8742711157732;52.1101783882793
28.5100002288818;35.6032316288578;51.7460428923159
28.5100002288818;35.9647687667392;51.9874316991641
28.4699993133545;35.4223423508898;51.6762542134462
28.4899997711182;35.3313454153326;51.7325961546361
28.4899997711182;35.5588812193547;52.0570938359603
28.5200004577637;35.5459937919885;52.0793488766714
28.4899997711182;35.7997886639053;52.4903527362605
28.5599994659424;35.7263767352489;52.1995624139503
28.4799995422363;35.8678455175705;52.3870729156219
28.5300006866455;36.2204714342127;52.690893685153
28.4899997711182;36.1653789356636;52.9829636406144
28.4899997711182;36.0762618878959;53.1062716156893
28.4300003051757;36.5784796170435;53.9553363935482
28.4300003051757;36.4673475388942;53.8560585159355
28.4500007629394;36.1984046676323;53.6178866870565
28.4200000762939;36.329286839539;53.7549111049301
28.4699993133545;36.6065344946179;54.2523342888071
28.4699993133545;36.2410143939936;53.9016188922362
28.4799995422363;36.3448481703572;54.107951779789
28.4799995422363;35.757285947569;53.0853142207881
28.4799995422363;35.8175564666007;53.2304432347641
28.5100002288818;36.1702388849863;53.9217553062926
28.5300006866455;35.6040463913163;53.3420719236333
28.4899997711182;35.5017807555248;53.1415402692674
28.5200004577637;35.6330761239194;53.3183766149175
28.5200004577637;35.5017807555248;53.2725670495917
28.5200004577637;34.8181583916584;52.4438907084511
28.5300006866455;34.9027158925012;52.3237735633608
28.6399993896484;34.9609367549419;52.2103693325877
28.6100006103516;35.2981936071636;52.6675162664193
28.5300006866455;35.4515648874537;52.8578076149947
28.5400009155273;35.133971492114;52.0799102225495
28.5400009155273;34.9467306290406;51.5229648868215
28.6000003814697;35.2621491843878;51.6807552772545
28.5599994659424;34.8507452067153;51.4351711468564
28.5200004577637;35.0489650180485;51.5476891224487
28.5100002288818;34.9685484395319;51.7125735381484
28.5300006866455;34.8837202611886;51.8331487506312
28.5200004577637;35.3209391890383;52.3272913866007
28.5200004577637;34.9790207130496;52.292737242179
28.5200004577637;35.1613618158269;52.6169917232481
28.5100002288818;35.1587577890745;52.7475801000553
28.4899997711182;34.5813878371564;51.9983199549367
28.4899997711182;34.5755093430323;51.5056980721446
28.4799995422363;34.5469998351352;51.7818820196414
28.4899997711182;34.6583787905254;51.8365272241169
28.4899997711182;34.7124330891791;52.0638935211053
28.5300006866455;35.0770185852249;52.514010936853
28.5300006866455;35.2253529265515;52.8874056840583
28.5300006866455;34.5528647452173;52.0781669531114
28.5200004577637;34.222456698543;51.9556490833792
28.5400009155273;34.5587330513097;52.5169145258048
28.5300006866455;34.6583787905254;52.4231710527862
28.5300006866455;34.4047273724979;52.1639943257241
28.5300006866455;34.4305030919665;52.2405234216691
28.5200004577637;34.5168965489091;52.5454909244187
28.6000003814697;34.0087865117811;51.7941212413759
28.6200008392333;34.0343856387051;50.9876162988575
28.6200008392333;34.1482063256234;51.0332824516499
28.6200008392333;34.3643825924322;51.4280587880669
